| Strategy | CAGR | Total Return | Max Drawdown | Win Rate | Trades | Sharpe |
|----------|------|--------------|--------------|----------|--------|--------|
| HCR Breakout Long | 0.00% | 0.00% | {'drawdown': np.float64(0.0), 'date': Timestamp('2025-09-12 09:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
| HCR Breakout Short | 0.00% | 0.00% | {'drawdown': np.float64(0.0), 'date': Timestamp('2025-09-12 09:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
| Fib Retrace Swing | 0.00% | 0.00% | {'drawdown': np.float64(0.0), 'date': Timestamp('2025-09-12 09:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
| Gap Setup Long | -7.11% | -7.09% | {'drawdown': np.float64(0.17518954010343674), 'date': Timestamp('2026-02-09 08:30:00-0500', tz='America/New_York')} | N/A | N/A | N/A |
| Gap Setup Short | 8.39% | 8.36% | {'drawdown': np.float64(0.07585997656946293), 'date': Timestamp('2026-06-25 08:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
| Retrace Long | -3.59% | -3.58% | {'drawdown': np.float64(0.08380894046727577), 'date': Timestamp('2026-02-09 08:30:00-0500', tz='America/New_York')} | N/A | N/A | N/A |
| Retrace Short | -3.22% | -3.21% | {'drawdown': np.float64(0.08371585519833194), 'date': Timestamp('2026-06-25 08:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
| RSI Setup | 5.99% | 5.97% | {'drawdown': np.float64(0.038573636719720486), 'date': Timestamp('2026-06-25 08:30:00-0400', tz='America/New_York')} | N/A | N/A | N/A |
